Designator,Mid X,Mid Y,Rotation,Layer
C1,218.75,-102.5,0.0,top
C2,206.75,-113.5,0.0,top
D1,225.75,-113.75,0.0,top
D3,212.775,-140.25,90.0,top
D4,216.8375,-115.215,180.0,top
D5,215.0,-103.0,90.0,top
D6,222.75,-104.25,270.0,top
F1,230.25,-107.5,0.0,top
J1,230.25,-98.54,90.0,top
M1,230.25,-140.29,90.0,top
Q2,204.5,-107.25,270.0,top
Q3,201.5,-99.9375,270.0,top
Q4,230.75,-113.4375,270.0,top
Q5,224.6,-128.96,180.0,top
Q6,206.75,-101.5,90.0,top
R1,226.5,-116.5,180.0,top
R10,209.25,-114.5,270.0,top
R11,222.0,-120.575,270.0,top
R2,217.0,-118.5,180.0,top
R3,204.25,-110.0,0.0,top
R4,203.0,-104.5,0.0,top
R5,203.0,-103.0,0.0,top
R6,204.75,-98.25,0.0,top
R7,210.0,-99.5,270.0,top
R8,212.0,-99.0,270.0,top
R9,214.25,-108.5,90.0,top
U1,209.75,-108.75,180.0,top
